repo,stars,created_at,age_years,merged_prs
microsoft/generative-ai-for-beginners,118609,2023-06-19T16:28:59Z,3.19,601
justjavac/free-programming-books-zh_CN,118521,2013-11-04T01:59:19Z,12.81,300
harry0703/MoneyPrinterTurbo,116897,2024-03-11T02:57:34Z,2.46,233
rust-lang/rust,116189,2010-06-16T20:39:03Z,16.19,73843
godotengine/godot,116180,2014-01-04T16:05:36Z,12.64,43480
mrdoob/three.js,114817,2010-03-23T18:58:01Z,16.43,16051
2dust/v2rayN,114739,2019-07-30T03:47:24Z,7.07,618
d3/d3,113559,2010-09-27T17:22:42Z,15.91,495
immich-app/immich,112730,2022-02-03T15:56:27Z,4.56,10094
DietrichGebert/ponytail,112493,2026-06-12T00:52:37Z,0.21,174
jaywcjlove/awesome-mac,111842,2016-07-17T15:33:47Z,10.11,1252
Graphify-Labs/graphify,111058,2026-04-03T15:49:07Z,0.4,135
browser-use/browser-use,110939,2024-10-31T16:00:56Z,1.82,1901
microsoft/TypeScript,110715,2014-06-17T15:28:39Z,12.19,14936
VoltAgent/awesome-design-md,110647,2026-03-31T16:37:01Z,0.41,6
tauri-apps/tauri,110586,2019-07-13T09:09:37Z,7.12,5680
axios/axios,109191,2014-08-18T22:30:27Z,12.02,1487
fatedier/frp,109040,2015-12-21T15:24:59Z,10.68,862
papers-we-love/papers-we-love,109021,2013-12-15T14:31:41Z,12.7,445
supabase/supabase,108437,2019-10-12T05:56:49Z,6.87,18861
denoland/deno,108308,2018-05-15T01:34:26Z,8.28,16493
openai/whisper,107977,2022-09-16T20:02:54Z,3.94,122
google-gemini/gemini-cli,106695,2025-04-17T17:04:31Z,1.36,6669
goldbergyoni/nodebestpractices,105599,2017-09-15T08:33:19Z,8.94,766
microsoft/terminal,104694,2017-08-11T18:38:22Z,9.04,4526
deepseek-ai/DeepSeek-V3,104416,2024-12-26T09:52:40Z,1.66,25
rasbt/LLMs-from-scratch,103853,2023-07-23T18:15:57Z,3.09,509
react/create-react-app,103280,2016-07-17T14:55:11Z,10.11,1949
pytorch/pytorch,102602,2016-08-13T05:26:41Z,10.03,6615
neovim/neovim,101986,2014-01-31T13:39:22Z,12.57,19734
Anduin2017/HowToCook,101977,2020-02-29T10:43:49Z,6.49,647
fastapi/fastapi,101865,2018-12-08T08:21:47Z,7.72,3571
ruanyf/weekly,101343,2018-10-13T12:36:07Z,7.87,121
JuliusBrussee/caveman,101182,2026-04-04T10:03:00Z,0.39,60
angular/angular,101000,2014-09-18T16:12:01Z,11.94,7448
TauricResearch/TradingAgents,100735,2024-12-28T03:31:08Z,1.66,27
mtdvio/every-programmer-should-know,100343,2017-08-24T13:18:26Z,9.0,109
ant-design/ant-design,99207,2015-04-24T15:37:24Z,11.34,18267
mui/material-ui,98938,2014-08-18T19:11:54Z,12.02,22214
earendil-works/pi,97768,2025-08-09T14:03:50Z,1.05,928
nvbn/thefuck,97744,2015-04-08T15:08:04Z,11.38,482
tailwindlabs/tailwindcss,97338,2017-10-06T14:59:14Z,8.89,3476
florinpop17/app-ideas,97103,2019-02-25T18:36:56Z,7.5,151
microsoft/Web-Dev-For-Beginners,96483,2020-11-10T02:44:00Z,5.79,689
hacksider/Deep-Live-Cam,96135,2023-09-24T13:19:31Z,2.92,123
oven-sh/bun,95712,2021-04-14T00:48:17Z,5.37,10002
puppeteer/puppeteer,95497,2017-05-09T22:16:13Z,9.3,6238
microsoft/playwright,95180,2019-11-15T18:32:42Z,6.78,17755
ryanmcdermott/clean-code-javascript,94765,2016-11-25T22:25:41Z,9.75,149
nvm-sh/nvm,94755,2010-04-15T17:47:47Z,16.36,761
karpathy/autoresearch,94750,2026-03-06T22:00:43Z,0.47,7
iluwatar/java-design-patterns,94624,2014-08-09T16:45:18Z,12.05,1585
punkpeye/awesome-mcp-servers,92854,2024-11-30T04:49:10Z,1.74,3393
3b1b/manim,92083,2015-03-22T18:50:58Z,11.43,702
deepseek-ai/DeepSeek-R1,92038,2025-01-20T11:57:28Z,1.6,10
thedotmack/claude-mem,91949,2025-08-31T20:50:03Z,0.99,517
nexu-io/open-design,91781,2026-04-28T04:25:20Z,0.33,3021
ruvnet/RuView,91747,2025-06-07T04:32:30Z,1.22,409
storybookjs/storybook,90941,2016-03-18T04:23:44Z,10.44,13184
louislam/uptime-kuma,90649,2021-07-03T01:02:42Z,5.15,1837
opencv/opencv,90612,2012-07-19T09:40:17Z,14.1,14095
Stirling-Tools/Stirling-PDF,90493,2023-01-27T18:22:42Z,3.58,4173
sherlock-project/sherlock,90364,2018-12-24T14:30:48Z,7.67,744
PanJiaChen/vue-element-admin,90208,2017-04-17T03:35:49Z,9.36,311
vllm-project/vllm,90143,2023-02-09T11:23:20Z,3.54,20397
home-assistant/core,90120,2013-09-17T07:29:48Z,12.94,90761
addyosmani/agent-skills,90027,2026-02-15T20:20:26Z,0.53,134
bitcoin/bitcoin,90016,2010-12-19T15:16:43Z,15.69,16863
mermaid-js/mermaid,89954,2014-11-01T23:52:32Z,11.81,2830
modelcontextprotocol/servers,89889,2024-11-19T01:10:17Z,1.77,1229
microsoft/ML-For-Beginners,89824,2021-03-03T01:34:05Z,5.48,496
gohugoio/hugo,89556,2013-07-04T15:26:26Z,13.14,3490
localsend/localsend,89446,2022-12-16T00:46:07Z,3.69,734
infiniflow/ragflow,89324,2023-12-12T06:13:13Z,2.7,8743
zed-industries/zed,89270,2021-02-20T03:01:06Z,5.51,26584
astral-sh/uv,89122,2023-10-02T20:24:11Z,2.9,10180
gin-gonic/gin,89117,2014-06-16T23:57:25Z,12.19,1247
django/django,88956,2012-04-28T02:47:18Z,14.33,10694
MunGell/awesome-for-beginners,88744,2015-10-24T19:53:36Z,10.84,484
ChatGPTNextWeb/NextChat,88649,2023-03-10T18:27:54Z,3.46,912
PaddlePaddle/PaddleOCR,88310,2020-05-08T10:38:16Z,6.3,3199
syncthing/syncthing,88020,2013-11-26T09:48:21Z,12.75,2927
sveltejs/svelte,87991,2016-11-20T18:13:05Z,9.76,6858
ByteByteGoHq/system-design-101,87619,2023-09-18T20:52:03Z,2.94,23
OpenCut-app/OpenCut,86931,2025-06-22T08:02:17Z,1.18,192
odysseus-dev/odysseus,86313,2026-05-31T14:05:51Z,0.24,1439
OpenHands/OpenHands,85195,2024-03-13T03:33:31Z,2.45,7550
laravel/laravel,84878,2011-06-08T03:06:08Z,15.22,1710
macrozheng/mall,84634,2018-04-04T01:11:44Z,8.39,1
koala73/worldmonitor,84332,2026-01-08T17:26:06Z,0.63,4739
bregman-arie/devops-exercises,84277,2019-10-03T17:31:21Z,6.9,309
DopplerHQ/awesome-interview-questions,84216,2015-11-28T09:48:17Z,10.74,175
realworld-apps/realworld,84138,2016-02-26T20:49:53Z,10.5,438
Developer-Y/cs-video-courses,83184,2016-10-21T17:02:11Z,9.85,286
animate-css/animate.css,82753,2011-10-12T10:07:38Z,14.87,315
fighting41love/funNLP,82695,2018-08-21T11:20:39Z,8.01,14
junegunn/fzf,82665,2013-10-23T16:04:23Z,12.84,690
vitejs/vite,82542,2020-04-21T05:03:57Z,6.35,6656
lobehub/lobehub,82022,2023-05-21T07:19:12Z,3.27,8032
mlabonne/llm-course,82006,2023-06-17T22:16:25Z,3.19,2
tonsky/FiraCode,81951,2014-11-11T19:32:38Z,11.79,145
jesseduffield/lazygit,81663,2018-05-19T00:53:06Z,8.27,2046
spring-projects/spring-boot,81367,2012-10-19T15:02:57Z,13.85,217
Leonxlnx/taste-skill,81013,2026-02-19T21:44:05Z,0.51,15
bytedance/deer-flow,80956,2025-05-07T02:50:19Z,1.3,1820
TapXWorld/ChinaTextbook,80868,2020-01-05T04:11:06Z,6.64,1
Egonex-AI/Understand-Anything,80608,2026-03-15T02:30:51Z,0.45,125
swisskyrepo/PayloadsAllTheThings,80405,2016-10-18T07:29:07Z,9.85,570
netdata/netdata,80307,2013-06-17T18:39:10Z,13.19,13014
hoppscotch/hoppscotch,80101,2019-08-21T13:15:24Z,7.01,2145
d2l-ai/d2l-zh,79976,2017-08-23T04:40:24Z,9.01,1019
anuraghazra/github-readme-stats,79832,2020-07-09T10:34:22Z,6.13,1569
unclecode/crawl4ai,79467,2024-05-09T09:48:50Z,2.3,233
paperclipai/paperclip,79436,2026-03-02T15:01:51Z,0.48,1936
Z4nzu/hackingtool,79123,2020-04-11T09:21:31Z,6.37,59
doocs/advanced-java,79088,2018-10-06T11:38:30Z,7.89,96
coder/code-server,79080,2019-02-27T16:50:41Z,7.49,1765
ventoy/Ventoy,78953,2020-03-10T15:19:19Z,6.46,302
awesomedata/awesome-public-datasets,78656,2014-11-20T06:20:50Z,11.76,188
opendatalab/MinerU,78554,2024-02-29T08:52:34Z,2.49,1542
elastic/elasticsearch,77863,2010-02-08T13:20:56Z,16.54,95964
dair-ai/Prompt-Engineering-Guide,77808,2022-12-16T16:04:50Z,3.69,342
tensorflow/models,77652,2016-02-05T01:15:20Z,10.55,2345
rtk-ai/rtk,77528,2026-01-22T16:54:16Z,0.59,555
nomic-ai/gpt4all,77397,2023-03-27T18:49:32Z,3.42,938
