repo,stars,created_at,age_years,merged_prs
FortAwesome/Font-Awesome,76876,2012-02-17T14:19:43Z,14.52,222
MisterBooo/LeetCodeAnimation,76700,2018-12-06T08:01:22Z,7.72,63
D4Vinci/Scrapling,76651,2024-10-13T20:29:53Z,1.87,109
nestjs/nest,76465,2017-02-04T20:12:52Z,9.56,8744
grafana/grafana,76437,2013-12-11T15:59:56Z,12.71,69782
sdmg15/Best-websites-a-programmer-should-visit,76265,2017-03-05T20:25:17Z,9.48,430
tesseract-ocr/tesseract,76199,2014-08-12T18:04:59Z,12.04,1471
redis/redis,76113,2009-03-21T22:32:25Z,17.43,4770
AppFlowy-IO/AppFlowy,75983,2021-06-16T12:56:48Z,5.19,3895
ocornut/imgui,75880,2014-07-21T14:29:47Z,12.1,427
typicode/json-server,75690,2013-11-27T13:21:13Z,12.74,171
Panniantong/Agent-Reach,75618,2026-02-24T02:10:24Z,0.5,174
openai/openai-cookbook,75570,2022-03-11T02:08:53Z,4.46,1093
obsproject/obs-studio,75479,2013-10-01T02:40:31Z,12.9,5587
shareAI-lab/learn-claude-code,75377,2025-06-29T15:34:15Z,1.16,90
caddyserver/caddy,75231,2015-01-13T19:45:03Z,11.62,2399
PKUFlyingPig/cs-self-learning,75183,2021-10-20T13:43:42Z,4.85,319
datawhalechina/hello-agents,75064,2025-09-07T09:50:24Z,0.97,171
python/cpython,74933,2017-02-10T19:23:51Z,9.54,62845
unslothai/unsloth,74877,2023-11-29T16:50:09Z,2.74,3837
abi/screenshot-to-code,74652,2023-11-14T17:53:32Z,2.78,83
apache/superset,74470,2015-07-21T18:55:34Z,11.1,19863
enaqx/awesome-react,74404,2014-08-06T05:31:44Z,12.05,799
hiyouga/LlamaFactory,74382,2023-05-28T10:09:12Z,3.25,1022
josephmisiti/awesome-machine-learning,74172,2014-07-15T19:11:19Z,12.11,933
Eugeny/tabby,74161,2016-12-23T09:06:10Z,9.67,1580
