repo,stars,total_releases,pushed_at,days_since_update
expressjs/express,69382,165,2026-08-01T09:58:10Z,18
base/node,68430,86,2026-07-22T19:00:12Z,28
ruvnet/ruflo,68360,1000,2026-08-19T06:22:54Z,0
code-yeongyu/oh-my-openagent,68110,237,2026-08-19T23:20:17Z,0
openinterpreter/openinterpreter,68079,64,2026-08-19T23:09:14Z,0
chartjs/Chart.js,67643,117,2026-05-27T21:17:31Z,84
BurntSushi/ripgrep,67413,75,2026-08-04T13:59:44Z,15
labmlai/annotated_deep_learning_paper_implementations,67313,0,2026-01-22T04:26:00Z,209
gorhill/uBlock,67099,288,2026-08-19T11:56:14Z,0
colbymchenry/codegraph,67098,30,2026-08-08T02:56:05Z,11
apache/echarts,67095,125,2026-08-04T09:07:09Z,15
scikit-learn/scikit-learn,66973,50,2026-08-19T20:05:53Z,0
headroomlabs-ai/headroom,66903,162,2026-08-19T21:22:01Z,0
bradtraversy/design-resources-for-developers,66698,0,2026-05-24T10:07:48Z,87
xtekky/gpt4free,66568,504,2026-08-19T22:51:38Z,0
sindresorhus/awesome-nodejs,66564,0,2026-05-03T08:24:10Z,108
leonardomso/33-js-concepts,66510,0,2026-08-02T14:51:44Z,17
cline/cline,66495,374,2026-08-19T23:20:45Z,0
TheAlgorithms/Java,66168,0,2026-08-19T08:47:09Z,0
facebook/docusaurus,66001,157,2026-08-13T14:19:29Z,6
webpack/webpack,65970,462,2026-08-19T16:25:43Z,0
prometheus/prometheus,65756,377,2026-08-19T14:50:45Z,0
santifer/career-ops,65753,35,2026-08-19T19:08:01Z,0
LadybirdBrowser/ladybird,65749,0,2026-08-19T23:17:38Z,0
microsoft/AI-For-Beginners,65671,0,2026-07-21T11:11:48Z,29
dani-garcia/vaultwarden,65660,85,2026-08-13T14:46:28Z,6
kelseyhightower/nocode,65650,1,2024-08-07T03:19:12Z,742
Fission-AI/OpenSpec,65540,45,2026-08-19T22:33:53Z,0
alacritty/alacritty,65428,108,2026-08-17T19:36:06Z,2
lydiahallie/javascript-questions,65317,0,2024-08-04T16:08:40Z,745
docling-project/docling,65230,206,2026-08-19T14:21:44Z,0
kdn251/interviews,65220,0,2025-05-12T12:56:04Z,464
localstack/localstack,65145,106,2026-03-23T08:52:01Z,149
Mintplex-Labs/anything-llm,64931,34,2026-08-19T22:22:07Z,0
shanraisshan/claude-code-best-practice,64739,0,2026-08-19T06:38:38Z,0
gsd-build/get-shit-done,64671,78,2026-05-31T17:46:54Z,80
nocodb/nocodb,64592,199,2026-08-19T12:51:26Z,0
traefik/traefik,64498,553,2026-08-19T06:34:22Z,0
warpdotdev/warp,64359,56,2026-08-19T23:20:35Z,0
ryanoasis/nerd-fonts,64306,39,2026-08-10T11:01:16Z,9
tw93/Mole,64253,61,2026-08-17T19:11:17Z,2
keras-team/keras,64242,93,2026-08-19T22:47:18Z,0
scrapy/scrapy,63967,52,2026-08-19T15:40:23Z,0
rust-lang/rustlings,63906,46,2026-08-11T11:46:06Z,8
mem0ai/mem0,63618,381,2026-08-18T15:51:45Z,1
FFmpeg/FFmpeg,63454,0,2026-08-19T22:35:44Z,0
commaai/openpilot,63452,63,2026-08-19T21:22:01Z,0
tldr-pages/tldr,63426,6,2026-08-19T22:19:19Z,0
ZhuLinsen/daily_stock_analysis,63388,34,2026-08-19T15:46:49Z,0
asgeirtj/system_prompts_leaks,63195,0,2026-08-19T22:47:42Z,0
socketio/socket.io,63191,98,2026-07-24T14:44:59Z,26
NanmiCoder/MediaCrawler,63066,0,2026-08-14T08:19:00Z,5
virattt/ai-hedge-fund,62963,11,2026-08-07T17:21:58Z,12
resume/resume.github.com,62883,0,2023-02-15T06:38:51Z,1281
jgraph/drawio-desktop,62693,187,2026-08-14T09:09:47Z,5
git/git,62666,0,2026-08-19T20:26:37Z,0
pathwaycom/pathway,62422,89,2026-08-19T16:02:17Z,0
usememos/memos,62367,96,2026-08-19T13:15:36Z,0
topjohnwu/Magisk,62306,156,2026-08-18T18:38:55Z,1
youngyangyang04/leetcode-master,62215,0,2026-08-03T02:57:08Z,16
karpathy/nanoGPT,62214,0,2025-11-12T19:52:34Z,280
withastro/astro,61869,1000,2026-08-19T21:18:13Z,0
PlexPt/awesome-chatgpt-prompts-zh,61686,0,2026-04-28T10:52:14Z,113
sansan0/TrendRadar,61595,0,2026-07-17T13:54:28Z,33
reduxjs/redux,61508,78,2026-08-02T00:52:12Z,17
FuelLabs/sway,61496,189,2026-08-14T14:48:39Z,5
minio/minio,61387,521,2026-04-24T17:54:39Z,117
2dust/v2rayNG,61331,307,2026-08-19T12:28:38Z,0
lodash/lodash,61289,4,2026-07-03T19:48:01Z,47
RVC-Boss/GPT-SoVITS,61060,4,2026-08-18T09:16:25Z,1
upstash/context7,60987,105,2026-08-19T09:01:11Z,0
Solido/awesome-flutter,60953,0,2026-04-21T19:06:09Z,120
tw93/Pake,60904,51,2026-08-15T14:51:04Z,4
h5bp/Front-end-Developer-Interview-Questions,60872,0,2026-06-16T23:06:47Z,64
ChrisTitusTech/winutil,60870,46,2026-08-19T22:25:17Z,0
1c7/chinese-independent-developer,60860,0,2026-08-19T06:47:16Z,0
xingshaocheng/architect-awesome,60839,0,2024-04-11T11:32:12Z,860
atom/atom,60778,538,2023-01-03T10:49:48Z,1324
ultralytics/ultralytics,60772,451,2026-08-19T22:51:54Z,0
coollabsio/coolify,60765,692,2026-08-19T21:48:15Z,0
nuxt/nuxt,60763,291,2026-08-19T21:28:15Z,0
pocketbase/pocketbase,60736,284,2026-08-19T18:43:11Z,0
pbakaus/impeccable,60710,45,2026-08-19T18:29:20Z,0
