repo,stars,total_releases,pushed_at,days_since_update
AntonOsika/gpt-engineer,55134,21,2025-05-14T10:15:10Z,462
PowerShell/PowerShell,54998,214,2026-08-19T19:14:38Z,0
romkatv/powerlevel10k,54942,33,2026-08-15T09:23:06Z,4
ngosang/trackerslist,54904,0,2026-08-19T22:09:43Z,0
jingyaogong/minimind,54836,2,2026-08-06T14:08:38Z,13
TryGhost/Ghost,54800,1000,2026-08-19T23:27:47Z,0
facebookresearch/segment-anything,54710,0,2024-09-18T17:46:55Z,700
WerWolv/ImHex,54513,82,2026-08-19T20:38:23Z,0
wagoodman/dive,54479,28,2025-12-15T17:20:36Z,247
lencx/ChatGPT,54448,34,2024-08-29T17:58:11Z,720
maybe-finance/maybe,54321,28,2025-07-24T22:20:44Z,391
psf/requests,54242,19,2026-08-17T19:03:16Z,2
vuejs/core,54220,292,2026-08-19T20:43:58Z,0
ElemeFE/element,54056,145,2024-08-20T07:40:13Z,729
agalwood/Motrix,54016,29,2026-08-19T17:16:46Z,0
odoo/odoo,53801,0,2026-08-19T23:04:25Z,0
google/material-design-icons,53783,16,2026-08-14T03:02:13Z,5
mozilla/pdf.js,53757,88,2026-08-19T12:10:36Z,0
necolas/normalize.css,53520,0,2024-06-12T20:36:06Z,798
freqtrade/freqtrade,53445,116,2026-08-19T14:34:14Z,0
JetBrains/kotlin,53351,300,2026-08-19T23:04:35Z,0
chinese-poetry/chinese-poetry,53181,1,2026-06-17T01:56:08Z,63
vsouza/awesome-ios,53113,0,2026-06-24T14:58:10Z,56
ggml-org/whisper.cpp,53038,38,2026-08-18T12:33:22Z,1
aaif-goose/goose,53012,146,2026-08-19T23:24:14Z,0
microsoft/VibeVoice,52938,0,2026-07-24T09:24:29Z,26
dockur/windows,52902,126,2026-08-19T23:15:35Z,0
lyswhut/lx-music-desktop,52894,113,2026-08-04T16:14:05Z,15
sickcodes/Docker-OSX,52868,0,2025-11-11T05:23:57Z,281
hesreallyhim/awesome-claude-code,52654,0,2026-08-19T21:08:01Z,0
ionic-team/ionic-framework,52620,950,2026-08-19T22:15:01Z,0
jesseduffield/lazydocker,52550,47,2026-04-19T02:51:06Z,122
lllyasviel/Fooocus,52429,21,2025-12-01T19:17:07Z,261
prettier/prettier,52207,144,2026-08-19T15:28:17Z,0
xai-org/grok-1,52161,0,2024-08-30T04:17:25Z,719
etcd-io/etcd,52131,292,2026-08-19T12:45:16Z,0
bmad-code-org/BMAD-METHOD,52087,39,2026-08-19T22:56:47Z,0
VoltAgent/awesome-openclaw-skills,52060,0,2026-08-17T12:04:23Z,2
google/guava,51887,60,2026-08-19T22:08:56Z,0
anthropics/claude-cookbooks,51864,0,2026-08-19T20:42:54Z,0
dkhamsing/open-source-ios-apps,51768,37,2026-08-19T23:08:09Z,0
run-llama/llama_index,51748,433,2026-08-19T18:48:01Z,0
expo/expo,51705,0,2026-08-19T22:14:49Z,0
Avik-Jain/100-Days-Of-ML-Code,51652,0,2023-12-29T07:57:53Z,964
jekyll/jekyll,51636,112,2026-08-03T17:55:37Z,16
dbeaver/dbeaver,51480,254,2026-08-19T18:14:14Z,0
charlax/professional-programming,51432,0,2026-07-15T15:55:09Z,35
poteto/hiring-without-whiteboards,51420,0,2026-06-06T02:10:59Z,74
DefinitelyTyped/DefinitelyTyped,51378,1,2026-08-19T18:16:12Z,0
ethereum/go-ethereum,51301,232,2026-08-19T13:19:33Z,0
diegosouzapw/OmniRoute,51219,278,2026-08-19T21:44:14Z,0
justjavac/wechat-miniapp-radar,51183,0,2026-08-07T01:04:58Z,12
Semantic-Org/Semantic-UI,51028,154,2024-11-27T21:01:48Z,630
cypress-io/cypress,50979,402,2026-08-19T22:32:23Z,0
jamiepine/voicebox,50875,25,2026-08-09T00:03:42Z,10
CherryHQ/cherry-studio,50788,277,2026-08-19T18:08:38Z,0
bannedbook/fanqiang,50413,3,2026-08-12T11:06:00Z,7
nlohmann/json,50404,45,2026-08-19T21:55:30Z,0
mastodon/mastodon,50222,360,2026-08-19T21:14:26Z,0
TanStack/query,50164,1000,2026-08-19T19:07:19Z,0
skylot/jadx,50132,35,2026-08-19T18:52:12Z,0
serhii-londar/open-source-mac-os-apps,50092,0,2026-04-15T22:47:24Z,126
AlistGo/alist,50061,149,2026-08-05T08:04:29Z,14
jgthms/bulma,50053,22,2026-03-01T20:13:02Z,171
chenglou/pretext,49939,0,2026-06-23T05:01:09Z,57
tldraw/tldraw,49866,134,2026-08-19T21:14:27Z,0
huginn/huginn,49824,1,2026-08-15T05:06:36Z,4
NARKOZ/hacker-scripts,49800,0,2023-10-23T21:01:40Z,1031
Lordog/dive-into-llms,49765,1,2025-10-10T06:25:48Z,313
jakevdp/PythonDataScienceHandbook,49638,0,2024-06-26T19:17:33Z,784
roboflow/supervision,49549,40,2026-08-19T20:51:04Z,0
pandas-dev/pandas,49522,122,2026-08-19T19:23:36Z,0
kelseyhightower/kubernetes-the-hard-way,49503,0,2025-04-10T06:11:47Z,496
hashicorp/terraform,49489,437,2026-08-19T21:06:31Z,0
ChromeDevTools/chrome-devtools-mcp,49418,58,2026-08-19T18:56:30Z,0
ClickHouse/ClickHouse,49344,828,2026-08-19T23:21:15Z,0
chen08209/FlClash,49283,106,2026-08-19T11:05:52Z,0
astral-sh/ruff,49257,423,2026-08-19T23:19:14Z,0
Homebrew/brew,49209,509,2026-08-19T23:10:46Z,0
x64dbg/x64dbg,49202,6,2026-08-15T11:35:51Z,4
GokuMohandas/Made-With-ML,49147,1,2026-03-04T23:44:21Z,167
apple/container,49087,20,2026-08-19T17:28:20Z,0
stablyai/orca,49071,932,2026-08-19T23:24:30Z,0
JuliaLang/julia,49018,203,2026-08-19T19:56:51Z,0
bigskysoftware/htmx,48979,32,2026-08-19T23:26:41Z,0
calesthio/OpenMontage,48972,0,2026-08-18T15:50:54Z,1
metabase/metabase,48839,817,2026-08-19T23:27:23Z,0
akullpp/awesome-java,48787,0,2026-08-19T18:23:37Z,0
tmux/tmux,48724,44,2026-08-19T21:05:09Z,0
algorithm-visualizer/algorithm-visualizer,48671,0,2024-06-09T06:54:22Z,801
iamkun/dayjs,48665,129,2026-08-18T04:15:17Z,1
DovAmir/awesome-design-patterns,48624,0,2024-10-25T19:57:00Z,663
upscayl/upscayl,48614,29,2026-08-04T19:20:17Z,15
mudler/LocalAI,48586,135,2026-08-19T22:15:36Z,0
KRTirtho/spotube,48509,44,2026-08-16T09:07:33Z,3
nilbuild/design-patterns-for-humans,48461,0,2024-12-02T04:54:48Z,625
type-challenges/type-challenges,48445,0,2026-05-16T14:20:30Z,95
Aider-AI/aider,48334,93,2026-05-22T14:02:20Z,89
brillout/awesome-react-components,48231,0,2026-01-26T16:36:45Z,205
ReactiveX/RxJava,48204,267,2026-08-19T16:29:28Z,0
slidevjs/slidev,48155,430,2026-08-19T06:22:42Z,0
moeru-ai/airi,48097,81,2026-08-19T15:31:05Z,0
pixijs/pixijs,48038,308,2026-08-19T20:19:12Z,0
hugohe3/ppt-master,48009,22,2026-08-19T03:18:31Z,0
router-for-me/CLIProxyAPI,47949,818,2026-08-19T19:40:52Z,0
moment/moment,47914,1,2026-08-19T21:24:50Z,0
karan/Projects,47877,0,2024-08-14T19:06:05Z,735
HKUDS/CLI-Anything,47824,3,2026-08-13T04:30:15Z,6
calcom/cal.diy,47812,611,2026-08-08T17:13:42Z,11
microsoft/qlib,47758,23,2026-07-23T08:15:29Z,27
gogs/gogs,47742,98,2026-08-06T12:32:28Z,13
minimaxir/big-list-of-naughty-strings,47707,0,2024-04-18T03:26:59Z,853
bevyengine/bevy,47705,58,2026-08-19T23:07:33Z,0
discourse/discourse,47677,1,2026-08-19T23:27:47Z,0
lukasz-madon/awesome-remote-job,47655,0,2026-08-16T19:35:44Z,3
prisma/prisma,47571,254,2026-08-19T16:31:06Z,0
oobabooga/textgen,47553,113,2026-08-17T17:38:16Z,2
GitHubDaily/GitHubDaily,47510,0,2025-12-31T18:59:20Z,231
acmesh-official/acme.sh,47490,48,2026-08-19T14:50:09Z,0
jeecgboot/JeecgBoot,47415,64,2026-08-14T06:09:59Z,5
dypsilon/frontend-dev-bookmarks,47395,1,2024-05-21T10:56:58Z,820
coreybutler/nvm-windows,47390,23,2026-04-17T17:58:18Z,124
slab/quill,47304,95,2025-07-25T06:09:23Z,390
rohitg00/ai-engineering-from-scratch,47215,2,2026-08-10T07:05:52Z,9
HKUDS/nanobot,47182,19,2026-08-19T17:53:48Z,0
typescript-cheatsheets/react,47098,0,2026-05-29T19:52:44Z,82
lysine-dev/okhttp,47052,0,2026-08-19T23:25:42Z,0
elder-plinius/CL4R1T4S,47040,0,2026-08-15T02:33:56Z,4
gedoor/legado,47010,0,2026-05-27T08:41:54Z,84
KeygraphHQ/shannon,46948,19,2026-08-19T14:44:50Z,0
v2ray/v2ray-core,46934,247,2026-07-13T03:22:29Z,37
serverless/serverless,46916,494,2026-08-19T14:48:05Z,0
exo-explore/exo,46889,16,2026-06-23T18:59:18Z,57
multica-ai/multica,46863,142,2026-08-19T19:27:42Z,0
kepano/obsidian-skills,46816,0,2026-06-08T16:12:01Z,72
Asabeneh/30-Days-Of-JavaScript,46719,0,2025-12-06T11:12:48Z,256
hiroi-sora/Umi-OCR,46689,31,2025-11-20T14:58:13Z,272
SimplifyJobs/Summer2027-Internships,46598,0,2026-08-19T23:01:01Z,0
zhayujie/CowAgent,46574,80,2026-08-19T11:14:12Z,0
microsoft/monaco-editor,46557,189,2026-08-18T18:33:20Z,1
apache/airflow,46538,126,2026-08-19T23:07:18Z,0
usebruno/bruno,46414,171,2026-08-19T17:43:54Z,0
LeCoupa/awesome-cheatsheets,46380,0,2026-04-12T17:26:10Z,129
9001/copyparty,46311,346,2026-08-17T22:17:30Z,2
docker/awesome-compose,46120,0,2026-08-15T19:45:19Z,4
Alishahryar1/free-claude-code,46120,0,2026-08-19T06:42:55Z,0
ziishaned/learn-regex,46078,0,2025-08-25T23:17:54Z,359
iina/iina,46013,51,2026-08-19T17:07:07Z,0
RocketChat/Rocket.Chat,46006,1000,2026-08-19T23:06:46Z,0
jgm/pandoc,45939,158,2026-08-18T22:21:44Z,1
coqui-ai/TTS,45918,98,2024-08-16T12:07:14Z,733
siyuan-note/siyuan,45894,944,2026-08-19T16:19:35Z,0
cli/cli,45893,200,2026-08-19T22:54:42Z,0
helix-editor/helix,45884,30,2026-08-18T23:23:16Z,1
DavidHDev/react-bits,45825,0,2026-08-15T05:27:08Z,4
DIYgod/RSSHub,45811,0,2026-08-18T13:36:54Z,1
android/architecture-samples,45795,0,2026-08-12T23:40:24Z,6
zhongyang219/TrafficMonitor,45781,27,2026-08-19T03:31:54Z,0
milvus-io/milvus,45700,170,2026-08-19T16:07:52Z,0
google/zx,45678,100,2026-08-14T07:30:27Z,5
karanpratapsingh/system-design,45647,0,2026-07-08T00:36:51Z,42
QuantumNous/new-api,45622,512,2026-08-19T08:30:13Z,0
abhigyanpatwari/GitNexus,45587,0,2026-08-19T20:19:05Z,0
streamlit/streamlit,45574,126,2026-08-19T23:19:54Z,0
ColorlibHQ/AdminLTE,45547,97,2026-08-19T11:55:53Z,0
Leaflet/Leaflet,45497,34,2026-08-17T12:53:01Z,2
jestjs/jest,45468,217,2026-08-19T16:56:27Z,0
isocpp/CppCoreGuidelines,45252,4,2026-08-06T15:54:13Z,13
grpc/grpc,45231,375,2026-08-19T22:47:39Z,0
sickn33/agentic-awesome-skills,45150,188,2026-08-19T21:55:28Z,0
GitSquared/edex-ui,45044,29,2021-10-19T22:38:47Z,1765
pyenv/pyenv,45033,165,2026-08-16T22:51:28Z,3
fastapi/full-stack-fastapi-template,44961,15,2026-08-17T08:38:42Z,2
MHSanaei/3x-ui,44955,124,2026-08-19T17:59:01Z,0
coreyhaines31/marketingskills,44929,39,2026-08-19T18:16:52Z,0
react-hook-form/react-hook-form,44822,618,2026-08-18T11:54:09Z,1
meteor/meteor,44810,0,2026-08-19T19:09:05Z,0
DataTalksClub/data-engineering-zoomcamp,44742,0,2026-06-10T09:34:17Z,70
sudheerj/reactjs-interview-questions,44740,0,2026-08-18T07:21:33Z,1
mitmproxy/mitmproxy,44738,81,2026-08-13T13:50:59Z,6
vercel/hyper,44695,88,2026-06-29T11:03:02Z,51
files-community/Files,44680,141,2026-08-19T22:31:35Z,0
vnpy/vnpy,44619,67,2026-08-10T01:07:58Z,9
getsentry/sentry,44577,176,2026-08-19T23:20:31Z,0
logseq/logseq,44519,153,2026-08-19T07:25:35Z,0
spf13/cobra,44468,27,2026-07-11T00:43:07Z,39
charmbracelet/bubbletea,44457,80,2026-08-19T15:32:03Z,0
paperless-ngx/paperless-ngx,44417,156,2026-08-19T23:21:04Z,0
NaiboWang/EasySpider,44373,11,2026-08-19T13:19:51Z,0
AykutSarac/jsoncrack.com,44301,23,2026-08-18T17:35:36Z,1
payloadcms/payload,44269,574,2026-08-19T23:16:35Z,0
sharkdp/fd,44140,44,2026-08-11T17:42:55Z,8
janhq/jan,44056,104,2026-08-19T13:21:33Z,0
parcel-bundler/parcel,44020,52,2026-08-17T04:30:08Z,2
streamich/react-use,44019,257,2026-06-10T18:51:23Z,70
Kong/kong,44003,147,2026-08-16T14:44:43Z,3
yangshun/front-end-interview-handbook,43991,0,2026-08-13T08:25:31Z,6
zen-browser/desktop,43986,186,2026-08-19T22:18:49Z,0
babel/babel,43986,468,2026-08-16T08:21:06Z,3
lysine-dev/retrofit,43935,4,2026-08-16T23:02:12Z,3
astaxie/build-web-application-with-golang,43901,0,2024-05-12T00:47:46Z,829
apache/spark,43841,0,2026-08-19T21:02:45Z,0
DataExpert-io/data-engineer-handbook,43787,0,2026-08-03T20:29:57Z,16
aymericdamien/TensorFlow-Examples,43732,0,2024-07-26T19:46:13Z,754
ccxt/ccxt,43671,248,2026-08-19T22:38:36Z,0
ray-project/ray,43560,128,2026-08-19T23:29:45Z,0
juspay/hyperswitch,43504,158,2026-08-19T22:49:34Z,0
colinhacks/zod,43493,205,2026-08-19T22:08:32Z,0
danielmiessler/Fabric,43483,423,2026-08-09T20:55:42Z,10
gradio-app/gradio,43389,1000,2026-08-19T23:17:18Z,0
Light-City/CPlusPlusThings,43363,0,2026-05-16T06:05:14Z,95
ziglang/zig,43315,21,2025-11-27T01:42:59Z,265
alex/what-happens-when,43295,0,2024-08-19T13:02:25Z,730
Unitech/pm2,43269,138,2026-07-02T10:09:15Z,48
HeyPuter/puter,43112,22,2026-08-19T21:04:56Z,0
zbezj/HEU_KMS_Activator,43099,54,2026-07-06T04:01:22Z,44
FuelLabs/fuels-rs,43064,121,2026-06-29T14:14:40Z,51
mifi/lossless-cut,43042,106,2026-08-19T19:07:48Z,0
Imbad0202/academic-research-skills,43042,40,2026-08-19T23:13:23Z,0
FuelLabs/fuels-ts,43026,156,2026-03-27T18:21:29Z,145
juanfont/headscale,43007,140,2026-07-30T10:20:13Z,20
deepspeedai/DeepSpeed,42964,115,2026-08-19T23:00:05Z,0
faif/python-patterns,42933,0,2026-08-13T09:08:33Z,6
curl/curl,42643,97,2026-08-19T21:39:31Z,0
k88hudson/git-flight-rules,42595,0,2026-07-23T20:48:50Z,27
mingrammer/diagrams,42528,46,2026-08-16T12:09:29Z,3
apachecn/ailearning,42465,2,2024-11-12T16:21:55Z,645
Alamofire/Alamofire,42415,106,2026-08-03T01:00:57Z,16
danny-avila/LibreChat,42248,94,2026-08-19T21:52:33Z,0
imputnet/cobalt,42147,0,2026-04-06T11:59:56Z,135
saadeghi/daisyui,42132,228,2026-08-19T01:05:46Z,0
666ghj/BettaFish,42042,6,2026-08-17T05:07:11Z,2
fastlane/fastlane,42005,568,2026-08-18T00:55:28Z,1
LC044/WeChatMsg,41973,0,2025-12-30T13:31:16Z,232
nolimits4web/swiper,41884,103,2026-08-06T16:44:44Z,13
psf/black,41809,55,2026-08-19T18:33:37Z,0
agno-agi/agno,41789,231,2026-08-19T23:02:13Z,0
hexojs/hexo,41771,118,2026-08-12T18:42:36Z,7
aria2/aria2,41751,24,2026-06-25T14:49:35Z,55
freefq/free,41740,0,2024-08-20T09:43:55Z,729
dylanaraps/pure-bash-bible,41718,0,2023-11-28T03:26:23Z,995
heygen-com/hyperframes,41707,353,2026-08-19T23:28:47Z,0
chubin/cheat.sh,41663,0,2025-12-23T18:48:24Z,239
dcloudio/uni-app,41598,0,2026-08-19T15:06:37Z,0
apache/dubbo,41557,114,2026-08-13T18:29:17Z,6
sxyazi/yazi,41497,32,2026-08-19T19:40:01Z,0
yarnpkg/yarn,41485,153,2026-05-12T11:09:42Z,99
tabler/tabler,41484,51,2026-08-19T22:38:19Z,0
chatboxai/chatbox,41479,60,2026-08-14T14:13:27Z,5
hpcaitech/ColossalAI,41438,50,2026-08-17T17:57:12Z,2
exelban/stats,41299,348,2026-08-19T18:31:47Z,0
amruthpillai/reactive-resume,41169,136,2026-08-19T03:49:18Z,0
nwjs/nw.js,41161,0,2026-08-19T04:08:07Z,0
styled-components/styled-components,41122,239,2026-08-17T17:53:56Z,2
XTLS/Xray-core,41118,119,2026-08-19T05:31:52Z,0
luongnv89/claude-howto,41108,10,2026-08-19T08:58:30Z,0
vuetifyjs/vuetify,41031,675,2026-08-19T18:29:49Z,0
bailicangdu/vue2-elm,41026,0,2025-04-11T12:52:02Z,495
gkd-kit/gkd,41012,75,2026-08-18T14:17:25Z,1
zai-org/ChatGLM-6B,40989,0,2024-06-27T04:05:25Z,783
vercel-labs/agent-browser,40959,102,2026-08-19T15:33:45Z,0
goabstract/Awesome-Design-Tools,40928,0,2024-07-28T19:57:31Z,752
QSCTech/zju-icicles,40872,0,2026-01-20T11:01:02Z,211
Hmbown/CodeWhale,40830,133,2026-08-19T15:09:00Z,0
vim/vim,40773,0,2026-08-19T21:54:06Z,0
ashishps1/awesome-system-design-resources,40772,0,2026-02-16T18:32:29Z,184
facebookresearch/faiss,40768,28,2026-08-19T22:06:01Z,0
appsmithorg/appsmith,40707,308,2026-08-19T19:33:48Z,0
chatanywhere/GPT_API_free,40701,0,2026-07-28T19:03:18Z,22
remoteintech/remote-jobs,40683,0,2026-08-11T12:07:57Z,8
PatrickJS/awesome-cursorrules,40613,0,2026-05-30T18:01:29Z,81
bradtraversy/50projects50days,40613,0,2025-02-26T13:49:39Z,539
GyulyVGC/sniffnet,40602,18,2026-08-19T21:41:48Z,0
chakra-ui/chakra-ui,40584,1000,2026-08-18T10:19:10Z,1
trpc/trpc,40525,239,2026-08-13T21:58:09Z,6
ToolJet/ToolJet,40520,596,2026-08-19T22:15:08Z,0
pingcap/tidb,40450,215,2026-08-19T23:26:26Z,0
duckdb/duckdb,40442,63,2026-08-19T12:38:03Z,0
wg/wrk,40389,0,2023-12-30T10:33:51Z,963
LizardByte/Sunshine,40341,46,2026-08-19T07:18:02Z,0
php/php-src,40297,60,2026-08-19T17:50:35Z,0
nushell/nushell,40297,124,2026-08-19T00:25:11Z,0
CorentinTh/it-tools,40292,10,2026-08-16T11:35:00Z,3
ManimCommunity/manim,40267,34,2026-08-15T08:31:07Z,4
outline/outline,40250,166,2026-08-19T21:05:46Z,0
phaserjs/phaser,40170,178,2026-07-09T14:33:40Z,41
microsoft/BitNet,40104,0,2026-07-27T05:52:06Z,23
photoprism/photoprism,40089,83,2026-08-19T20:53:54Z,0
gofiber/fiber,40069,142,2026-08-19T11:54:16Z,0
google-research/bert,40047,0,2024-07-23T23:39:41Z,756
langchain-ai/langgraph,40039,560,2026-08-19T18:05:32Z,0
evanw/esbuild,40007,315,2026-08-09T17:20:12Z,10
schollz/croc,39960,209,2026-08-19T09:08:55Z,0
Kong/insomnia,39957,561,2026-08-19T15:45:42Z,0
go-gorm/gorm,39910,12,2026-06-25T07:21:11Z,55
koalaman/shellcheck,39898,30,2026-08-04T08:32:46Z,15
siddharthvaddem/openscreen,39874,13,2026-06-17T02:34:20Z,63
videojs/video.js,39860,336,2026-08-03T10:03:33Z,16
llvm/llvm-project,39827,159,2026-08-19T23:28:06Z,0
2noise/ChatTTS,39772,7,2026-04-10T16:33:48Z,131
vadimdemedes/ink,39693,81,2026-08-12T00:11:46Z,7
novuhq/novu,39620,144,2026-08-19T16:35:34Z,0
mindsdb/mindshub,39610,339,2026-08-13T21:48:08Z,6
DeusData/codebase-memory-mcp,39582,46,2026-08-19T22:12:48Z,0
qbittorrent/qBittorrent,39572,4,2026-08-17T06:10:49Z,2
floodsung/Deep-Learning-Papers-Reading-Roadmap,39547,0,2022-11-27T13:18:32Z,1361
google/styleguide,39514,0,2026-06-03T15:51:23Z,77
lm-sys/FastChat,39511,14,2026-05-01T00:25:53Z,110
bojieli/ai-agent-book,39505,1,2026-08-19T23:29:48Z,0
halo-dev/halo,39505,269,2026-08-18T10:08:34Z,1
QuivrHQ/quivr,39408,354,2025-07-09T12:55:23Z,406
TeamNewPipe/NewPipe,39400,147,2026-08-19T11:02:29Z,0
pola-rs/polars,39398,265,2026-08-19T18:57:56Z,0
AstrBotDevs/AstrBot,39395,251,2026-08-19T17:06:17Z,0
google/leveldb,39336,21,2026-03-11T04:06:29Z,161
freeCodeCamp/devdocs,39313,0,2026-08-16T00:41:20Z,3
suno-ai/bark,39239,0,2024-08-19T07:45:36Z,730
ShareX/ShareX,39206,90,2026-08-19T23:29:05Z,0
drawdb-io/drawdb,39163,0,2026-08-16T22:54:03Z,3
HKUDS/LightRAG,38995,82,2026-08-19T07:01:48Z,0
google/googletest,38939,12,2026-08-19T19:37:00Z,0
wshobson/agents,38932,0,2026-08-18T15:56:45Z,1
datalab-to/marker,38869,72,2026-08-07T06:33:06Z,12
deepseek-ai/awesome-deepseek-integration,38865,0,2026-02-23T16:27:47Z,177
mattermost/mattermost,38844,1000,2026-08-19T23:28:53Z,0
aseprite/aseprite,38842,130,2026-08-18T21:44:38Z,1
rapid7/metasploit-framework,38830,0,2026-08-18T15:21:12Z,1
RSSNext/Folo,38828,113,2026-08-17T23:35:22Z,1
preactjs/preact,38824,251,2026-08-17T09:39:32Z,2
YunaiV/ruoyi-vue-pro,38820,66,2026-08-14T16:49:53Z,5
Dogfalo/materialize,38817,41,2026-07-31T14:51:54Z,19
DioxusLabs/dioxus,38814,42,2026-08-19T21:49:16Z,0
spacedriveapp/spacedrive,38797,28,2026-07-29T00:31:28Z,21
lapce/lapce,38749,35,2026-07-15T11:27:37Z,35
ajeetdsouza/zoxide,38730,38,2026-08-19T10:40:09Z,0
ant-design/ant-design-pro,38681,34,2026-08-19T17:24:35Z,0
Yeachan-Heo/oh-my-claudecode,38670,244,2026-08-18T12:34:36Z,1
bytedance/UI-TARS-desktop,38643,38,2026-08-05T02:48:59Z,14
naptha/tesseract.js,38639,57,2026-05-17T04:19:12Z,94
gto76/python-cheatsheet,38636,1,2026-07-29T14:56:37Z,21
google-research/google-research,38580,0,2026-08-19T20:48:11Z,0
chatchat-space/Langchain-Chatchat,38553,31,2025-11-10T09:27:42Z,282
huiyadanli/RevokeMsgPatcher,38527,21,2026-08-16T12:51:44Z,3
kilimchoi/engineering-blogs,38527,0,2024-08-21T13:01:11Z,728
google/langextract,38444,18,2026-08-19T07:21:21Z,0
httpie/cli,38434,47,2024-12-17T17:30:35Z,610
dotnet/aspnetcore,38379,296,2026-08-19T23:02:45Z,0
istio/istio,38359,450,2026-08-19T22:16:32Z,0
portainer/portainer,38278,189,2026-08-19T13:16:24Z,0
frappe/erpnext,38278,1000,2026-08-19T16:48:13Z,0
umami-software/umami,38264,109,2026-08-19T19:48:42Z,0
sqlmapproject/sqlmap,38225,11,2026-08-18T12:50:42Z,1
PhilJay/MPAndroidChart,38194,44,2025-06-05T07:06:39Z,440
impress/impress.js,38173,15,2026-07-23T07:05:16Z,27
huihut/interview,38140,0,2025-08-24T07:01:54Z,360
ueberdosis/tiptap,38081,985,2026-08-19T17:16:55Z,0
xyflow/xyflow,38056,384,2026-08-19T14:23:03Z,0
docker/compose,38047,284,2026-08-19T16:10:01Z,0
harness/harness,38031,59,2026-08-19T14:27:59Z,0
github/awesome-copilot,38012,0,2026-08-19T20:55:24Z,0
hyprwm/Hyprland,37959,117,2026-08-19T11:24:19Z,0
vlang/v,37797,304,2026-08-19T23:14:46Z,0
PostHog/posthog,37783,906,2026-08-19T23:29:11Z,0
FreeCodeCampChina/freecodecamp.cn,37774,0,2023-07-16T16:48:59Z,1130
servo/servo,37740,13,2026-08-19T23:15:12Z,0
anthropics/prompt-eng-interactive-tutorial,37717,0,2026-03-01T17:07:40Z,171
Wei-Shaw/sub2api,37681,38,2026-08-19T16:39:05Z,0
denysdovhan/wtfjs,37673,25,2026-07-03T09:48:44Z,47
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,37659,8,2026-08-04T07:47:32Z,15
TencentARC/GFPGAN,37659,8,2024-07-26T18:44:02Z,754
NervJS/taro,37643,211,2026-08-17T07:57:14Z,2
fengdu78/Coursera-ML-AndrewNg-Notes,37590,0,2025-08-25T04:02:38Z,359
shiyu-coder/Kronos,37589,0,2026-04-13T12:38:49Z,128
aquasecurity/trivy,37510,92,2026-08-19T06:08:28Z,0
karpathy/LLM101n,37507,0,2024-08-01T01:20:33Z,748
TriliumNext/Trilium,37506,354,2026-08-19T22:02:32Z,0
alibaba/arthas,37495,78,2026-08-14T02:31:32Z,5
directus/directus,37474,372,2026-08-19T20:45:09Z,0
alebcay/awesome-shell,37466,0,2025-08-28T14:40:51Z,356
PKUanonym/REKCARC-TSC-UHT,37433,0,2026-07-19T14:30:25Z,31
stanfordnlp/dspy,37432,110,2026-08-19T18:46:48Z,0
LAION-AI/Open-Assistant,37408,127,2024-08-17T01:55:35Z,732
exacity/deeplearningbook-chinese,37362,7,2019-12-03T04:25:44Z,2451
pbatard/rufus,37355,90,2026-08-03T11:33:58Z,16
eugenp/tutorials,37324,0,2026-08-18T20:04:28Z,1
openai/gym,37240,19,2026-03-26T23:13:27Z,146
0voice/interview_internal_reference,37237,0,2025-10-22T09:39:06Z,301
myshell-ai/OpenVoice,37159,0,2025-04-19T16:00:00Z,487
SagerNet/sing-box,37139,584,2026-08-19T20:14:36Z,0
IceWhaleTech/CasaOS,37098,97,2025-08-06T08:54:04Z,378
lfnovo/open-notebook,37081,42,2026-08-16T14:51:59Z,3
huggingface/pytorch-image-models,37075,78,2026-08-11T20:56:26Z,8
markedjs/marked,37065,179,2026-08-18T16:36:02Z,1
satwikkansal/wtfpython,37059,2,2026-01-13T19:49:12Z,218
patchy631/ai-engineering-hub,37037,0,2026-07-27T18:43:06Z,23
fastify/fastify,37005,323,2026-08-19T15:24:47Z,0
mouredev/Hello-Python,37001,0,2025-08-11T12:00:01Z,373
Textualize/textual,36978,223,2026-07-11T06:02:34Z,39
AobingJava/JavaFamily,36974,0,2025-11-03T12:37:27Z,289
babysor/MockingBird,36909,1,2026-03-03T14:59:58Z,169
soxoj/maigret,36895,29,2026-08-19T21:19:44Z,0
CopilotKit/CopilotKit,36858,1000,2026-08-19T23:01:20Z,0
shadowsocks/shadowsocks-android,36759,186,2026-08-09T11:06:54Z,10
musistudio/claude-code-router,36736,22,2026-08-19T09:58:28Z,0
Dokploy/dokploy,36720,170,2026-08-19T20:00:42Z,0
ashishpatel26/500-AI-Agents-Projects,36708,0,2026-07-27T05:40:40Z,23
veggiemonk/awesome-docker,36669,1,2026-08-19T15:33:40Z,0
google-ai-edge/mediapipe,36666,67,2026-08-19T18:55:51Z,0
ZuodaoTech/everyone-can-use-english,36662,48,2026-06-29T09:40:15Z,51
microsoft/Data-Science-For-Beginners,36657,0,2026-08-11T19:43:58Z,8
typeorm/typeorm,36630,45,2026-08-13T06:47:32Z,6
date-fns/date-fns,36629,127,2026-08-10T08:47:59Z,9
jaywcjlove/linux-command,36616,32,2026-08-11T18:01:06Z,8
blader/humanizer,36602,4,2026-08-19T05:58:53Z,0
